State,Best_Model,Best_RMSE
Alabama,XGBoost,9512204.59667315
Arizona,XGBoost,8545899.478620654
Arkansas,XGBoost,4599004.026523508
California,XGBoost,37420689.74210156
Colorado,XGBoost,6959639.362424545
Connecticut,XGBoost,4083652.0220593256
Florida,XGBoost,34231289.084092215
Georgia,XGBoost,15803277.778140401
Illinois,XGBoost,12309828.521501394
Indiana,XGBoost,9054482.631662965
Iowa,XGBoost,4442005.207249365
Kansas,XGBoost,2935279.4309775634
Kentucky,XGBoost,7187707.559305762
Louisiana,XGBoost,7458028.04591619
Maine,XGBoost,1933501.304621489
Maryland,XGBoost,7175518.895308463
Massachusetts,XGBoost,7241039.98977099
Michigan,XGBoost,12053938.868597597
Minnesota,XGBoost,5677604.600469204
Mississippi,XGBoost,6424180.824811209
Missouri,XGBoost,7874935.043041635
Nebraska,XGBoost,2579690.2791890902
Nevada,XGBoost,4139402.477352306
New Hampshire,XGBoost,2631506.9739760156
New Mexico,XGBoost,2714662.4287916077
New York,XGBoost,18424355.379643854
North Carolina,XGBoost,16008238.049200578
Ohio,XGBoost,14120452.801395835
Oklahoma,XGBoost,6405275.018911053
Oregon,XGBoost,4265827.841722401
Pennsylvania,XGBoost,12782014.997740954
Rhode Island,XGBoost,1061388.9671785769
South Carolina,XGBoost,10982682.265221953
South Dakota,XGBoost,1213432.2155400643
Tennessee,XGBoost,8717212.494077217
Texas,XGBoost,41809444.724313706
Utah,XGBoost,3827718.393645195
Vermont,XGBoost,666955.9946283703
Virginia,XGBoost,12366639.931365065
Washington,XGBoost,6465274.033555838
West Virginia,XGBoost,2938226.7928435807
Wisconsin,XGBoost,6492163.75711205
Wyoming,XGBoost,835933.5520974813
